year,spp,major,region,nation,catch,units
1963,610,4,3D,US,14000,lbs
1968,610,4,3D,US,1000,lbs
1970,610,4,3D,US,2000,lbs
1975,610,4,3D,US,1000,lbs
1956,610,68,4A,US,1000,lbs
1960,610,68,4A,US,1000,lbs
1973,610,68,4A,US,1000,lbs
1950,610,1,4B,CA,2000,lbs
1951,610,1,4B,CA,6000,lbs
1952,610,1,4B,CA,1000,lbs
1953,610,1,4B,CA,3000,lbs
1954,610,1,4B,CA,3000,lbs
1955,610,1,4B,CA,5000,lbs
1956,610,1,4B,CA,3000,lbs
1957,610,1,4B,CA,6000,lbs
1958,610,1,4B,CA,6000,lbs
1959,610,1,4B,CA,3000,lbs
1960,610,1,4B,CA,3000,lbs
1961,610,1,4B,CA,3000,lbs
1962,610,1,4B,CA,3000,lbs
1963,610,1,4B,CA,4000,lbs
1964,610,1,4B,CA,4000,lbs
1965,610,1,4B,CA,11000,lbs
1966,610,1,4B,CA,6000,lbs
1971,610,1,4B,CA,1000,lbs
1974,610,1,4B,CA,1000,lbs
1953,610,5,5A,CA,1000,lbs
1964,610,5,5A,CA,1000,lbs
1965,610,5,5A,CA,2000,lbs
1969,610,5,5A,CA,1000,lbs
1973,610,5,5A,CA,1000,lbs
1957,610,5,5A,US,7000,lbs
1968,610,5,5A,US,7000,lbs
1969,610,5,5A,US,1000,lbs
1953,610,6,5B,CA,2000,lbs
1973,610,6,5B,CA,1000,lbs
1958,610,6,5B,US,2000,lbs
1968,610,6,5B,US,1000,lbs
1951,610,7,5C,CA,2000,lbs
1966,610,7,5C,CA,1000,lbs
1970,610,7,5C,CA,2000,lbs
1971,610,7,5C,CA,1000,lbs
1972,610,7,5C,CA,1000,lbs
1973,610,7,5C,CA,9000,lbs
1974,610,7,5C,CA,10000,lbs
1975,610,7,5C,CA,17000,lbs
1950,610,8,5D,CA,233000,lbs
1951,610,8,5D,CA,225000,lbs
1952,610,8,5D,CA,168000,lbs
1953,610,8,5D,CA,79000,lbs
1954,610,8,5D,CA,17000,lbs
1955,610,8,5D,CA,115000,lbs
1956,610,8,5D,CA,47000,lbs
1957,610,8,5D,CA,31000,lbs
1958,610,8,5D,CA,21000,lbs
1959,610,8,5D,CA,5000,lbs
1960,610,8,5D,CA,9000,lbs
1961,610,8,5D,CA,22000,lbs
1962,610,8,5D,CA,14000,lbs
1963,610,8,5D,CA,5000,lbs
1964,610,8,5D,CA,14000,lbs
1965,610,8,5D,CA,4000,lbs
1966,610,8,5D,CA,3000,lbs
1967,610,8,5D,CA,2000,lbs
1968,610,8,5D,CA,19000,lbs
1969,610,8,5D,CA,99000,lbs
1970,610,8,5D,CA,356000,lbs
1971,610,8,5D,CA,422000,lbs
1972,610,8,5D,CA,354000,lbs
1973,610,8,5D,CA,308000,lbs
1974,610,8,5D,CA,290000,lbs
1975,610,8,5D,CA,194000,lbs
1950,610,8,5D,US,11000,lbs
1951,610,8,5D,US,12000,lbs
1952,610,8,5D,US,13000,lbs
1953,610,8,5D,US,9000,lbs
1961,631,2,3B,CA,7000,lbs
1962,631,2,3B,CA,13000,lbs
1963,631,2,3B,CA,9000,lbs
1964,631,2,3B,CA,6000,lbs
1967,631,2,3B,CA,35000,lbs
1968,631,2,3B,CA,45000,lbs
1950,631,2,3B,US,659000,lbs
1951,631,2,3B,US,270000,lbs
1952,631,2,3B,US,295000,lbs
1953,631,2,3B,US,208000,lbs
1954,631,2,3B,US,123000,lbs
1955,631,2,3B,US,490000,lbs
1956,631,2,3B,US,1047000,lbs
1957,631,2,3B,US,470000,lbs
1958,631,2,3B,US,228000,lbs
1959,631,2,3B,US,127000,lbs
1960,631,2,3B,US,53000,lbs
1961,631,2,3B,US,221000,lbs
1962,631,2,3B,US,343000,lbs
1963,631,2,3B,US,412000,lbs
1964,631,2,3B,US,124000,lbs
1965,631,2,3B,US,163000,lbs
1966,631,2,3B,US,184000,lbs
1967,631,2,3B,US,1033000,lbs
1968,631,2,3B,US,1558000,lbs
1969,631,2,3B,US,110000,lbs
1970,631,2,3B,US,132000,lbs
1971,631,2,3B,US,19000,lbs
1972,631,2,3B,US,28000,lbs
1973,631,2,3B,US,24000,lbs
1974,631,2,3B,US,731000,lbs
1975,631,2,3B,US,232000,lbs
1950,631,3,3C,CA,62000,lbs
1951,631,3,3C,CA,49000,lbs
1952,631,3,3C,CA,96000,lbs
1953,631,3,3C,CA,22000,lbs
1954,631,3,3C,CA,70000,lbs
1955,631,3,3C,CA,140000,lbs
1956,631,3,3C,CA,59000,lbs
1957,631,3,3C,CA,7000,lbs
1958,631,3,3C,CA,9000,lbs
1959,631,3,3C,CA,23000,lbs
1960,631,3,3C,CA,58000,lbs
1961,631,3,3C,CA,36000,lbs
1962,631,3,3C,CA,51000,lbs
1963,631,3,3C,CA,31000,lbs
1964,631,3,3C,CA,26000,lbs
1965,631,3,3C,CA,33000,lbs
1966,631,3,3C,CA,50000,lbs
1967,631,3,3C,CA,81000,lbs
1968,631,3,3C,CA,39000,lbs
1969,631,3,3C,CA,38000,lbs
1970,631,3,3C,CA,36000,lbs
1971,631,3,3C,CA,35000,lbs
1972,631,3,3C,CA,23000,lbs
1973,631,3,3C,CA,23000,lbs
1974,631,3,3C,CA,18000,lbs
1975,631,3,3C,CA,19000,lbs
1950,631,3,3C,US,2000,lbs
1951,631,3,3C,US,2000,lbs
1952,631,3,3C,US,2000,lbs
1953,631,3,3C,US,1000,lbs
1954,631,3,3C,US,3000,lbs
1956,631,3,3C,US,4000,lbs
1964,631,3,3C,US,1000,lbs
1966,631,3,3C,US,8000,lbs
1967,631,3,3C,US,3000,lbs
1968,631,3,3C,US,3000,lbs
1970,631,3,3C,US,5000,lbs
1973,631,3,3C,US,1000,lbs
1974,631,3,3C,US,9000,lbs
1952,631,4,3D,CA,1000,lbs
1956,631,4,3D,CA,1000,lbs
1960,631,4,3D,CA,5000,lbs
1962,631,4,3D,CA,1000,lbs
1965,631,4,3D,CA,1000,lbs
1966,631,4,3D,CA,2000,lbs
1970,631,4,3D,CA,1000,lbs
1958,631,4,3D,US,8000,lbs
1968,631,4,3D,US,1000,lbs
1951,631,68,4A,US,233000,lbs
1952,631,68,4A,US,254000,lbs
1953,631,68,4A,US,179000,lbs
1954,631,68,4A,US,249000,lbs
1955,631,68,4A,US,276000,lbs
1956,631,68,4A,US,286000,lbs
1957,631,68,4A,US,279000,lbs
1958,631,68,4A,US,470000,lbs
1959,631,68,4A,US,209000,lbs
1960,631,68,4A,US,640000,lbs
1961,631,68,4A,US,519000,lbs
1962,631,68,4A,US,462000,lbs
1963,631,68,4A,US,595000,lbs
1964,631,68,4A,US,375000,lbs
1965,631,68,4A,US,505000,lbs
1966,631,68,4A,US,332000,lbs
1967,631,68,4A,US,326000,lbs
1968,631,68,4A,US,518000,lbs
1969,631,68,4A,US,554000,lbs
1970,631,68,4A,US,316000,lbs
1971,631,68,4A,US,437000,lbs
1972,631,68,4A,US,553000,lbs
1973,631,68,4A,US,759000,lbs
1974,631,68,4A,US,712000,lbs
1975,631,68,4A,US,313000,lbs
1950,631,1,4B,CA,209000,lbs
1951,631,1,4B,CA,159000,lbs
1952,631,1,4B,CA,159000,lbs
1953,631,1,4B,CA,101000,lbs
1954,631,1,4B,CA,215000,lbs
1955,631,1,4B,CA,126000,lbs
1956,631,1,4B,CA,187000,lbs
1957,631,1,4B,CA,168000,lbs
1958,631,1,4B,CA,99000,lbs
1959,631,1,4B,CA,65000,lbs
1960,631,1,4B,CA,76000,lbs
1961,631,1,4B,CA,145000,lbs
1962,631,1,4B,CA,86000,lbs
1963,631,1,4B,CA,66000,lbs
1964,631,1,4B,CA,83000,lbs
1965,631,1,4B,CA,61000,lbs
1966,631,1,4B,CA,35000,lbs
1967,631,1,4B,CA,78000,lbs
1968,631,1,4B,CA,48000,lbs
1969,631,1,4B,CA,78000,lbs
1970,631,1,4B,CA,48000,lbs
1971,631,1,4B,CA,44000,lbs
1972,631,1,4B,CA,23000,lbs
1973,631,1,4B,CA,20000,lbs
1974,631,1,4B,CA,36000,lbs
1975,631,1,4B,CA,56000,lbs
1950,631,5,5A,CA,13000,lbs
1952,631,5,5A,CA,1000,lbs
1954,631,5,5A,CA,2000,lbs
1957,631,5,5A,CA,6000,lbs
1967,631,5,5A,CA,7000,lbs
1969,631,5,5A,CA,1000,lbs
1970,631,5,5A,CA,2000,lbs
1959,631,5,5A,US,13000,lbs
1967,631,5,5A,US,13000,lbs
1968,631,5,5A,US,8000,lbs
1959,631,6,5B,CA,1000,lbs
1963,631,6,5B,CA,1000,lbs
1964,631,6,5B,CA,1000,lbs
1966,631,6,5B,CA,1000,lbs
1958,631,6,5B,US,2000,lbs
1968,631,6,5B,US,3000,lbs
1962,631,7,5C,CA,9000,lbs
1966,631,7,5C,CA,3000,lbs
1967,631,7,5C,CA,1000,lbs
1968,631,7,5C,CA,1000,lbs
1969,631,7,5C,CA,1000,lbs
1970,631,7,5C,CA,14000,lbs
1971,631,7,5C,CA,2000,lbs
1972,631,7,5C,CA,56000,lbs
1973,631,7,5C,CA,2000,lbs
1974,631,7,5C,CA,1000,lbs
1975,631,7,5C,CA,9000,lbs
1950,631,7,5C,US,3000,lbs
1951,631,7,5C,US,3000,lbs
1952,631,7,5C,US,4000,lbs
1953,631,7,5C,US,3000,lbs
1954,631,7,5C,US,4000,lbs
1955,631,7,5C,US,4000,lbs
1956,631,7,5C,US,20000,lbs
1957,631,7,5C,US,53000,lbs
1970,631,7,5C,US,7000,lbs
1950,631,8,5D,CA,41000,lbs
1951,631,8,5D,CA,241000,lbs
1952,631,8,5D,CA,237000,lbs
1953,631,8,5D,CA,12000,lbs
1954,631,8,5D,CA,4000,lbs
1955,631,8,5D,CA,16000,lbs
1956,631,8,5D,CA,7000,lbs
1957,631,8,5D,CA,14000,lbs
1958,631,8,5D,CA,27000,lbs
1959,631,8,5D,CA,16000,lbs
1960,631,8,5D,CA,58000,lbs
1961,631,8,5D,CA,77000,lbs
1962,631,8,5D,CA,50000,lbs
1963,631,8,5D,CA,95000,lbs
1964,631,8,5D,CA,33000,lbs
1965,631,8,5D,CA,74000,lbs
1966,631,8,5D,CA,63000,lbs
1967,631,8,5D,CA,37000,lbs
1968,631,8,5D,CA,21000,lbs
1969,631,8,5D,CA,52000,lbs
1970,631,8,5D,CA,233000,lbs
1971,631,8,5D,CA,211000,lbs
1972,631,8,5D,CA,356000,lbs
1973,631,8,5D,CA,91000,lbs
1974,631,8,5D,CA,81000,lbs
1975,631,8,5D,CA,116000,lbs
1950,631,8,5D,US,52000,lbs
1951,631,8,5D,US,54000,lbs
1952,631,8,5D,US,59000,lbs
1953,631,8,5D,US,42000,lbs
1954,631,8,5D,US,25000,lbs
1955,631,8,5D,US,94000,lbs
1956,631,8,5D,US,60000,lbs
1957,631,8,5D,US,158000,lbs
1958,631,8,5D,US,177000,lbs
1959,631,8,5D,US,472000,lbs
1960,631,8,5D,US,238000,lbs
1961,631,8,5D,US,91000,lbs
1962,631,8,5D,US,3000,lbs
1963,631,8,5D,US,1000,lbs
1964,631,8,5D,US,6000,lbs
1965,631,8,5D,US,6000,lbs
1966,631,8,5D,US,18000,lbs
1967,631,8,5D,US,4000,lbs
1961,6ZZ,2,3B,CA,16000,lbs
1962,6ZZ,2,3B,CA,39000,lbs
1963,6ZZ,2,3B,CA,7000,lbs
1970,6ZZ,2,3B,CA,1000,lbs
1950,6ZZ,2,3B,US,2000,lbs
1951,6ZZ,2,3B,US,3000,lbs
1952,6ZZ,2,3B,US,3000,lbs
1953,6ZZ,2,3B,US,2000,lbs
1955,6ZZ,2,3B,US,6000,lbs
1956,6ZZ,2,3B,US,28000,lbs
1958,6ZZ,2,3B,US,7000,lbs
1959,6ZZ,2,3B,US,1000,lbs
1961,6ZZ,2,3B,US,24000,lbs
1963,6ZZ,2,3B,US,2000,lbs
1964,6ZZ,2,3B,US,430000,lbs
1965,6ZZ,2,3B,US,42000,lbs
1966,6ZZ,2,3B,US,8000,lbs
1967,6ZZ,2,3B,US,19000,lbs
1968,6ZZ,2,3B,US,3000,lbs
1969,6ZZ,2,3B,US,23000,lbs
1970,6ZZ,2,3B,US,29000,lbs
1971,6ZZ,2,3B,US,12000,lbs
1972,6ZZ,2,3B,US,36000,lbs
1973,6ZZ,2,3B,US,99000,lbs
1974,6ZZ,2,3B,US,212000,lbs
1975,6ZZ,2,3B,US,8000,lbs
1950,6ZZ,3,3C,CA,26000,lbs
1951,6ZZ,3,3C,CA,20000,lbs
1952,6ZZ,3,3C,CA,85000,lbs
1953,6ZZ,3,3C,CA,69000,lbs
1954,6ZZ,3,3C,CA,41000,lbs
1955,6ZZ,3,3C,CA,48000,lbs
1956,6ZZ,3,3C,CA,48000,lbs
1957,6ZZ,3,3C,CA,9000,lbs
1958,6ZZ,3,3C,CA,5000,lbs
1959,6ZZ,3,3C,CA,8000,lbs
1960,6ZZ,3,3C,CA,9000,lbs
1961,6ZZ,3,3C,CA,13000,lbs
1962,6ZZ,3,3C,CA,13000,lbs
1963,6ZZ,3,3C,CA,36000,lbs
1964,6ZZ,3,3C,CA,59000,lbs
1965,6ZZ,3,3C,CA,90000,lbs
1966,6ZZ,3,3C,CA,50000,lbs
1967,6ZZ,3,3C,CA,24000,lbs
1968,6ZZ,3,3C,CA,4000,lbs
1969,6ZZ,3,3C,CA,5000,lbs
1970,6ZZ,3,3C,CA,8000,lbs
1971,6ZZ,3,3C,CA,15000,lbs
1972,6ZZ,3,3C,CA,15000,lbs
1973,6ZZ,3,3C,CA,114000,lbs
1974,6ZZ,3,3C,CA,54000,lbs
1975,6ZZ,3,3C,CA,195000,lbs
1956,6ZZ,3,3C,US,11000,lbs
1961,6ZZ,3,3C,US,2000,lbs
1964,6ZZ,3,3C,US,453000,lbs
1965,6ZZ,3,3C,US,442000,lbs
1966,6ZZ,3,3C,US,43000,lbs
1969,6ZZ,3,3C,US,1000,lbs
1972,6ZZ,3,3C,US,4000,lbs
1973,6ZZ,3,3C,US,12000,lbs
1952,6ZZ,4,3D,CA,6000,lbs
1965,6ZZ,4,3D,CA,5000,lbs
1973,6ZZ,4,3D,CA,1000,lbs
1975,6ZZ,4,3D,CA,22000,lbs
1964,6ZZ,4,3D,US,18000,lbs
1965,6ZZ,4,3D,US,4000,lbs
1966,6ZZ,4,3D,US,3000,lbs
1970,6ZZ,4,3D,US,6000,lbs
1972,6ZZ,4,3D,US,3000,lbs
1973,6ZZ,4,3D,US,39000,lbs
1951,6ZZ,68,4A,US,18000,lbs
1952,6ZZ,68,4A,US,20000,lbs
1953,6ZZ,68,4A,US,13000,lbs
1955,6ZZ,68,4A,US,35000,lbs
1956,6ZZ,68,4A,US,133000,lbs
1959,6ZZ,68,4A,US,19000,lbs
1960,6ZZ,68,4A,US,61000,lbs
1961,6ZZ,68,4A,US,62000,lbs
1962,6ZZ,68,4A,US,46000,lbs
1963,6ZZ,68,4A,US,42000,lbs
1965,6ZZ,68,4A,US,54000,lbs
1966,6ZZ,68,4A,US,73000,lbs
1967,6ZZ,68,4A,US,83000,lbs
1968,6ZZ,68,4A,US,40000,lbs
1969,6ZZ,68,4A,US,34000,lbs
1970,6ZZ,68,4A,US,45000,lbs
1971,6ZZ,68,4A,US,54000,lbs
1972,6ZZ,68,4A,US,46000,lbs
1973,6ZZ,68,4A,US,137000,lbs
1974,6ZZ,68,4A,US,157000,lbs
1975,6ZZ,68,4A,US,101000,lbs
1950,6ZZ,1,4B,CA,14000,lbs
1951,6ZZ,1,4B,CA,22000,lbs
1952,6ZZ,1,4B,CA,26000,lbs
1953,6ZZ,1,4B,CA,12000,lbs
1954,6ZZ,1,4B,CA,7000,lbs
1955,6ZZ,1,4B,CA,2000,lbs
1956,6ZZ,1,4B,CA,37000,lbs
1957,6ZZ,1,4B,CA,3000,lbs
1958,6ZZ,1,4B,CA,5000,lbs
1959,6ZZ,1,4B,CA,4000,lbs
1960,6ZZ,1,4B,CA,10000,lbs
1961,6ZZ,1,4B,CA,15000,lbs
1962,6ZZ,1,4B,CA,16000,lbs
1963,6ZZ,1,4B,CA,19000,lbs
1964,6ZZ,1,4B,CA,9000,lbs
1965,6ZZ,1,4B,CA,22000,lbs
1966,6ZZ,1,4B,CA,7000,lbs
1967,6ZZ,1,4B,CA,13000,lbs
1968,6ZZ,1,4B,CA,1000,lbs
1969,6ZZ,1,4B,CA,7000,lbs
1970,6ZZ,1,4B,CA,4000,lbs
1971,6ZZ,1,4B,CA,4000,lbs
1973,6ZZ,1,4B,CA,30000,lbs
1974,6ZZ,1,4B,CA,10000,lbs
1975,6ZZ,1,4B,CA,40000,lbs
1950,6ZZ,5,5A,CA,4000,lbs
1958,6ZZ,5,5A,CA,1000,lbs
1962,6ZZ,5,5A,CA,1000,lbs
1964,6ZZ,5,5A,CA,3000,lbs
1965,6ZZ,5,5A,CA,196000,lbs
1966,6ZZ,5,5A,CA,52000,lbs
1972,6ZZ,5,5A,CA,82000,lbs
1973,6ZZ,5,5A,CA,81000,lbs
1974,6ZZ,5,5A,CA,20000,lbs
1975,6ZZ,5,5A,CA,324000,lbs
1956,6ZZ,5,5A,US,3000,lbs
1964,6ZZ,5,5A,US,50000,lbs
1965,6ZZ,5,5A,US,2000,lbs
1968,6ZZ,5,5A,US,4000,lbs
1969,6ZZ,5,5A,US,3000,lbs
1970,6ZZ,5,5A,US,1000,lbs
1972,6ZZ,5,5A,US,50000,lbs
1973,6ZZ,5,5A,US,41000,lbs
1975,6ZZ,5,5A,US,1000,lbs
1951,6ZZ,6,5B,CA,12000,lbs
1973,6ZZ,6,5B,CA,46000,lbs
1974,6ZZ,6,5B,CA,137000,lbs
1975,6ZZ,6,5B,CA,128000,lbs
1964,6ZZ,6,5B,US,6000,lbs
1968,6ZZ,6,5B,US,2000,lbs
1972,6ZZ,6,5B,US,5000,lbs
1973,6ZZ,6,5B,US,132000,lbs
1974,6ZZ,6,5B,US,1000,lbs
1962,6ZZ,7,5C,CA,1000,lbs
1965,6ZZ,7,5C,CA,1000,lbs
1969,6ZZ,7,5C,CA,35000,lbs
1973,6ZZ,7,5C,CA,49000,lbs
1974,6ZZ,7,5C,CA,41000,lbs
1975,6ZZ,7,5C,CA,88000,lbs
1967,6ZZ,7,5C,US,11000,lbs
1950,6ZZ,8,5D,CA,9000,lbs
1951,6ZZ,8,5D,CA,1825000,lbs
1952,6ZZ,8,5D,CA,3715000,lbs
1953,6ZZ,8,5D,CA,372000,lbs
1954,6ZZ,8,5D,CA,211000,lbs
1955,6ZZ,8,5D,CA,470000,lbs
1956,6ZZ,8,5D,CA,691000,lbs
1957,6ZZ,8,5D,CA,1291000,lbs
1958,6ZZ,8,5D,CA,500000,lbs
1959,6ZZ,8,5D,CA,212000,lbs
1960,6ZZ,8,5D,CA,105000,lbs
1961,6ZZ,8,5D,CA,22000,lbs
1962,6ZZ,8,5D,CA,39000,lbs
1963,6ZZ,8,5D,CA,110000,lbs
1964,6ZZ,8,5D,CA,204000,lbs
1965,6ZZ,8,5D,CA,269000,lbs
1966,6ZZ,8,5D,CA,348000,lbs
1967,6ZZ,8,5D,CA,738000,lbs
1968,6ZZ,8,5D,CA,424000,lbs
1969,6ZZ,8,5D,CA,355000,lbs
1970,6ZZ,8,5D,CA,1271000,lbs
1971,6ZZ,8,5D,CA,438000,lbs
1972,6ZZ,8,5D,CA,464000,lbs
1973,6ZZ,8,5D,CA,901000,lbs
1974,6ZZ,8,5D,CA,556000,lbs
1975,6ZZ,8,5D,CA,1308000,lbs
1950,6ZZ,8,5D,US,20000,lbs
1951,6ZZ,8,5D,US,21000,lbs
1952,6ZZ,8,5D,US,23000,lbs
1953,6ZZ,8,5D,US,16000,lbs
1955,6ZZ,8,5D,US,47000,lbs
1956,6ZZ,8,5D,US,1000,lbs
1964,6ZZ,8,5D,US,2000,lbs
